Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Inc. Radar,x,y,Founded
Breezi,https://breezi.io/,Fitness tracker for HVAC systems,Convertible Note,,Net Zero Buildings ,Emerging,TRUE,55,-165,2016
Tractebel,https://tractebel-engie.com/en/360-city-scan,Urban planning software with 3D visualisation of multiple aspects of a city’s components – used in Greater Spingfield,Undisclosed,,Urban Planning & Design,Existing,TRUE,95,-65,1986
Winnow,https://www.winnowsolutions.com/,U.K. startup that has developed smart kitchen AI-enabled tech to help commercial kitchens reduce food waste,Series B,31600000,Circular Economy in Energy,Existing,TRUE,110,-15,2013
GLOG ,www.gloghome.com,It designs ecological and energy-efficient homes and leisure buildings as a solution for the housing crisis,Seed,30000,Net Zero Buildings ,Emerging,FALSE,,,2013
Green Prefab,http://www.greenprefab.com/, A digital platform enabling a new generation of zero-energy buildings at affordable production costs,Unfunded,,Net Zero Buildings ,Emerging,TRUE,75,-155,2012
NODE,https://node.eco/#About ,Making zero emission homes thorough a patent-pending system ,Seed,150000,Net Zero Buildings ,Emerging,TRUE,50,-185,2016
"
Flow Laboratories",http://www.flowlabs.com/,It provides water management method to reduce water waste damage exposure and improve operational efficiency ,Seed,832000,Net Zero Buildings ,Emerging,FALSE,,,2016
"Avi-on Labs, Inc.",https://avi-on.com/solutions/,A wireless lighting ecosystem for commercial and non-commercial facilities to cut energy consumption and lighting control  ,Undisclosed,1600000,Net Zero Buildings ,Emerging,FALSE,,,2014
"
Enervalis",http://www.enervalis.com/,"Software that provides sustainable energy solutions for electric vehicles, buildings, and microgrids",Undisclosed,4664100,Net Zero Buildings ,Existing,TRUE,55,-120,2013
PittMoss,http://pittmoss.com/, Sells a peat moss alternative that is made from recycled paper.,Seed,1100000,Circular Economy in Energy,Emerging,FALSE,,,2015
"
Ayas Renewables",http://www.ayasrenewables.com/, A green chemistry company producing bio-renewable chemicals that replace the same molecule currently made from petroleum,,6500000,Circular Economy in Energy,Emerging,TRUE,180,-80,2015
Seeder Clean Energy,http://seederenergy.com/,A rooftop solar financing platform for commercial and industrial buildings in China,Undisclosed,438000,Net Zero Buildings ,Existing,TRUE,25,-110,2013
"
Therma-HEXX",http://www.therma-hexx.com/,Manufacturer of the ThermaPANEL modular hydronic heat exchange system,Series A,1000000,Net Zero Buildings ,Emerging,TRUE,65,-140,2011
Lightsource Renewable Energy,www.lightsourcebp.com/uk/,A provider of ground and rooftop solar installations in the UK,Undisclosed,534400000,Net Zero Buildings ,Existing,TRUE,15,-115,2010
Spruce Finance,www.sprucefinance.com," It provides consumer financing for residential solar systems, water conservation upgrades and energy-efficient home improvements.",Undisclosed,508400000,Net Zero Buildings ,Existing,TRUE,15,-85,2015
Deepki,http://deepki.com/, Engage in data analysis serving energy efficiency to detect energy savings on hundreds of buildings at the same time,Series B,10100000,Net Zero Buildings ,Emerging,TRUE,20,-200,2014
"
Kingo",http://kingoenergy.com/,It provides a prepaid solar energy service in rural communities without access to the grid,,36800000,Net Zero Buildings ,Existing,TRUE,50,-105,2013
Tonik Energy,tonikenergy.com,"A renewable energy company that puts people in control of their energy generation, storage, and consumption",Series A,15948400,Net Zero Buildings ,Existing,TRUE,25,-100,2015
"
GreenPocket",https://www.greenpocket.com/,A leading specialist for consumption visualization and energy management.,Series D,11600000,Net Zero Buildings ,Existing,TRUE,10,-70,2009
"
Green Energy Exchange",https://getgex.com/,It provides renewable electricity plans for homes and businesses,Seed,150000,Net Zero Buildings ,Emerging,TRUE,30,-180,2018
"
Linc",http://www.linc.world/,It provides hardware and software enables real-time energy management in any building.,Seed,180800,Net Zero Buildings ,Emerging,TRUE,16,-160,2013
"
Hybrid Energy Storage Solutions Ltd.",https://hesstec.net/,Provide technological solution and create hybrid energy storage solutions for the electrical grid,Series A,750000,Net Zero Buildings ,Emerging,TRUE,90,-180,2018
Hydromesh,http://hydromesh.org/, Create product which is an AI with machine learning acting as a brain of a micro grid that is connected to an energy source and ESS.,Unfunded,,Net Zero Buildings ,Distant,FALSE,,,2019
ChargePoint,http://www.chargepoint.com/,An open electric vehicle charging network,Series H ,532200000,Urban Planning & Design,Existing,TRUE,100,-80,2007
NoTraffic,http://notraffic.tech/,Traffic management platform based on smart sensors which prepares the road infrastructure for the connected and autonomous era.,Seed,6900000,Urban Planning & Design,Distant,TRUE,185,-175,2017
CIMCON lighting,http://www.cimconlighting.com/,"It offers intelligent, software-based streetlight control solutions that help cities.",Series C,49300000,Urban Planning & Design,Existing,TRUE,70,-100,2012
Omniflow,https://www.omniflow.pt/,"Smart Energy Platform for IOT, Smart Lighting & Telecom. Integrated solution Powered by Wind and Solar with built in Energy Storage.",Undisclosed,3886750,,Emerging,TRUE,,,2012
Clarity Movement,https://clarity.io/,Smart City Air Monitoring,Series A,2100000,Urban Planning & Design,Emerging,TRUE,130,-130,2014
CHAOS,http://www.chaosarchitects.com/,An urban forecasting company,Seed,290000,Urban Planning & Design,Emerging,TRUE,155,-110,2017
"
Bioo",https://www.biootech.com/,Generation of electricity from plants,Seed,510830,Circular Economy in Energy,Emerging,TRUE,160,-15,2015
BrighterBins,http://www.brighterbins.com/, Cost-effective solution for municipal waste pickup,Seed,546366,Urban Planning & Design,Existing,FALSE,,,2017
"
Cambridge Industries",http://cambridge-industries.com/,"Sustainable City Infrastructure, currently developing waste-to-energy projects in emerging market",Series B,12800000,Urban Planning & Design,Existing,TRUE,40,-45,2011
UrbanSim Inc.,http://www.urbansim.com/,"Building Smart City SaaS platforms to help developers, planners and citizens address hard problems like affordability, access, resilience",Seed,2000000,Urban Planning & Design,Emerging,TRUE,140,-150,2016
